                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7617,                 4.0592,                 3.7777,                0.69649,                0.22491,                0.17064,                 0.0645,                      0,                    inf,                      0,               0.070078,              0.0033247,              0.0033247
                      1,                 2.1071,                 1.7396,                  2.138,                0.94058,                0.44301,                0.49386,                0.22275,                      0,                    inf,                      0,               0.039814,              0.0063944,              0.0063944
                      2,                  1.753,                 1.4162,                 1.6915,                0.96611,                0.45502,                0.54643,                0.27173,                      0,                    inf,                      0,              0.0092864,                 0.0092,                 0.0092
                      3,                 1.6448,                 1.1872,                 1.5505,                0.65857,                0.60437,                0.61733,                0.31047,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      4,                 1.5674,                 1.0572,                 1.4843,                0.61064,                0.61418,                0.61354,                0.32542,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      0,                 2.8731,                 2.2899,                 2.5871,                0.95121,                0.40809,                  0.472,                0.20191,                      0,                    inf,                      0,               0.067171,             0.00033161,             0.00033161
                      1,                 1.8266,                 1.1748,                 1.7899,                0.54009,                0.53335,                0.53256,                0.27823,                      0,                    inf,                      0,               0.034164,             0.00065836,             0.00065836
                      2,                 1.6267,                 1.0218,                 1.5351,                0.56413,                0.56286,                0.57897,                0.31008,                      0,                    inf,                      0,              0.0011512,             0.00097851,             0.00097851
                      3,                 1.5763,                0.94167,                 1.4513,                0.72232,                0.63978,                0.65722,                0.34011,                      0,                    inf,                      0,              0.0009703,              0.0009703,              0.0009703
                      0,                 2.8731,                 2.2899,                 2.5871,                0.95121,                0.40809,                  0.472,                0.20191,                      0,                    inf,                      0,               0.067171,             0.00033161,             0.00033161
                      1,                 1.8266,                 1.1748,                 1.7899,                0.54009,                0.53335,                0.53256,                0.27823,                      0,                    inf,                      0,               0.034164,             0.00065836,             0.00065836
                      2,                 1.6267,                 1.0218,                 1.5351,                0.56413,                0.56286,                0.57897,                0.31008,                      0,                    inf,                      0,              0.0011512,             0.00097851,             0.00097851
